counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_keyboard.rt,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
3,,0.0418744,-0.384679322,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0418744,-0.384679322,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,0.0418744,-0.384679322,0,0,0,,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,15.08717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,0.0418744,-0.384679322,0,0,0,,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,11.84485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,0,,,,,,,,,-1,0,0,0,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,,,,,,,,1.59085,1,0,1,1,4,1,1005,WORD,UN,33,abound,SQUEAK,m,1.59085,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,,,,,,,,1.36155,1,0,2,2,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,1.36155,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,z,1,,,,,,,,1.114175,1,0,3,3,12,1,1013,NW,UN,33,adveil,SPRINY,z,1.114175,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,0,,,,,,,,0.67356,0,0,4,4,14,1,1015,NW,UN,16,miaber,THRALE,z,0.67356,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,,,,,,,,1.02518,1,0,5,5,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,1.02518,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,,,,,,,,0.83047,1,0,6,6,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,0.83047,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5cb36149a9827c0001e7ec46,2020-11-25_16h38.04.308,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,m,1,,,,,,,,0.67436,1,0,7,7,2,1,1003,WORD,"ID",16,almond,ALMOND,m,0.67436,,,,,,,,,,,,,,,,
