counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_keyboard.rt
2,space,11.79919,-0.555555556,0.013333333,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5ea0355ad8cdd9000a122a30,2020-11-27_15h01.54.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,12.20733,-0.555555556,0.013333333,0,0,0,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5ea0355ad8cdd9000a122a30,2020-11-27_15h01.54.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,4.571295,-0.555555556,0.013333333,0,0,0,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5ea0355ad8cdd9000a122a30,2020-11-27_15h01.54.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,12.525365,-0.555555556,0.013333333,0,0,0,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5ea0355ad8cdd9000a122a30,2020-11-27_15h01.54.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ea0355ad8cdd9000a122a30,2020-11-27_15h01.54.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,-1,0,0,0,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ea0355ad8cdd9000a122a30,2020-11-27_15h01.54.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.06576,1,0,1,1,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,1.06576,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ea0355ad8cdd9000a122a30,2020-11-27_15h01.54.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,1.0535,1,0,2,2,11,1,1012,NW,"ID",16,rashet,RASHET,z,1.0535,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ea0355ad8cdd9000a122a30,2020-11-27_15h01.54.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.716785,1,0,3,3,12,1,1013,NW,UN,33,adveil,SPRINY,z,0.716785,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ea0355ad8cdd9000a122a30,2020-11-27_15h01.54.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.853185,1,0,4,4,10,1,1011,NW,"ID",16,inlade,INLADE,z,0.853185,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ea0355ad8cdd9000a122a30,2020-11-27_15h01.54.705,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.687155,1,0,5,5,15,1,1016,NW,UN,16,mushed,WHAISE,z,0.687155,,,,,,,,,,,,,,,,,
