counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_touch.clicked_name,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_keyboard.rt
3,space,23.663,0.021296296,-0.110185185,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.025,-0.40462963,1,0,0,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,instr_done_button,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,15.576,0.597222222,0.193518519,0,0,0,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,5.204,0.597222222,0.193518519,0,0,0,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,0,,,,,,,,,-1,0,0,0,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,1.035,0,0,1,1,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,1.035,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,1.824,1,0,2,2,10,1,1011,NW,"ID",16,inlade,INLADE,z,1.824,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,1.005,1,0,3,3,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,1.005,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,1,,,,,,,,1.433,1,0,4,4,11,1,1012,NW,"ID",16,rashet,RASHET,z,1.433,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.891,1,0,5,5,2,1,1003,WORD,"ID",16,almond,ALMOND,m,0.891,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,1.137,1,0,6,6,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,1.137,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.887,1,0,7,7,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,0.887,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,0.765,1,0,8,8,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,0.765,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,1,,,,,,,,1.07,1,0,9,9,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,1.07,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,1.073,0,0,10,10,14,1,1015,NW,UN,16,miaber,THRALE,z,1.073,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,1.054,0,0,11,11,8,1,1009,NW,"ID",33,aslert,ASLERT,z,1.054,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.954,0,0,12,12,13,1,1014,NW,UN,33,winfer,ROUPET,z,0.954,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,1.006,0,0,13,13,12,1,1013,NW,UN,33,adveil,SPRINY,z,1.006,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,z,0,,,,,,,,1.002,0,0,14,14,4,1,1005,WORD,UN,33,abound,SQUEAK,m,1.002,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,1.135,0,0,15,15,15,1,1016,NW,UN,16,mushed,WHAISE,z,1.135,,,,,,,,,,,,,,,,,
,space,8.041,0.597222222,0.193518519,0,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,1.006,0,,,,,,303,NW,"ID",33,fiream,FIREAM,z,1.006,,,,,,0.597222222,0.193518519,0,0,0,,0,0,0,242,1,
,,,,,,,,,,,,,,,,,,5f85bd6e80e28b067e4e7f6d,2020-12-01_11h25.58.707,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,m,0,,,,,,,,0.774,0,,,,,,379,NW,"ID",16,auting,AUTING,z,0.774,,,,,,0.597222222,0.193518519,0,0,0,,0,1,1,318,1,
