counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_keyboard.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_keyboard.rt,break_done_touch.clicked_name
1,,0.027777778,-0.4,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5f0be5b2bc55e434486fad66,2020-08-10_18h08.51.796,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,0.293518519,-0.439814815,0,0,0,,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5f0be5b2bc55e434486fad66,2020-08-10_18h08.51.796,lexical_decision_task_MP,2020.1.3,Win32,60,11.01216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,0.293518519,-0.439814815,0,0,0,,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5f0be5b2bc55e434486fad66,2020-08-10_18h08.51.796,lexical_decision_task_MP,2020.1.3,Win32,60,5.97069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,0.293518519,-0.439814815,0,0,0,,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5f0be5b2bc55e434486fad66,2020-08-10_18h08.51.796,lexical_decision_task_MP,2020.1.3,Win32,60,9.78375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0be5b2bc55e434486fad66,2020-08-10_18h08.51.796,lexical_decision_task_MP,2020.1.3,Win32,60,,z,0,0.750475,,,,,,,,0.750475,0,0,0,0,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0be5b2bc55e434486fad66,2020-08-10_18h08.51.796,lexical_decision_task_MP,2020.1.3,Win32,60,,z,1,0.720135,,,,,,,,0.720135,1,0,1,1,15,1,1016,NW,UN,50,mushed,WHAISE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0be5b2bc55e434486fad66,2020-08-10_18h08.51.796,lexical_decision_task_MP,2020.1.3,Win32,60,,z,1,0.74874,,,,,,,,0.74874,1,0,2,2,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0be5b2bc55e434486fad66,2020-08-10_18h08.51.796,lexical_decision_task_MP,2020.1.3,Win32,60,,m,0,0.73976,,,,,,,,0.73976,0,0,3,3,14,1,1015,NW,UN,50,miaber,THRALE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0be5b2bc55e434486fad66,2020-08-10_18h08.51.796,lexical_decision_task_MP,2020.1.3,Win32,60,,z,0,0.53003,,,,,,,,0.53003,0,0,4,4,3,1,1004,WORD,"ID",50,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0be5b2bc55e434486fad66,2020-08-10_18h08.51.796,lexical_decision_task_MP,2020.1.3,Win32,60,,m,1,0.584095,,,,,,,,0.584095,1,0,5,5,2,1,1003,WORD,"ID",50,almond,ALMOND,m,,,,,,,,,,,,,,,,,,
