counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_touch.clicked_name
1,space,19.45779,0.1484375,-0.21484375,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5ee33ce832efb54e45adc345,2020-08-10_09h23.09.641,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,7.960955,0.1484375,-0.21484375,0,0,0,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5ee33ce832efb54e45adc345,2020-08-10_09h23.09.641,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,3.059495,0.1484375,-0.21484375,0,0,0,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5ee33ce832efb54e45adc345,2020-08-10_09h23.09.641,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,4.695725,0.1484375,-0.21484375,0,0,0,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5ee33ce832efb54e45adc345,2020-08-10_09h23.09.641,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee33ce832efb54e45adc345,2020-08-10_09h23.09.641,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,0,0,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee33ce832efb54e45adc345,2020-08-10_09h23.09.641,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.784215,1,0,1,1,6,1,1007,WORD,UN,50,tropic,ZOMBIE,m,0.784215,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee33ce832efb54e45adc345,2020-08-10_09h23.09.641,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,,,,,,,,0.587305,0,0,2,2,10,1,1011,NW,"ID",50,inlade,INLADE,z,0.587305,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee33ce832efb54e45adc345,2020-08-10_09h23.09.641,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,,,,,,,,0.613405,0,0,3,3,11,1,1012,NW,"ID",50,rashet,RASHET,z,0.613405,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee33ce832efb54e45adc345,2020-08-10_09h23.09.641,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,,,,,,,,0.615025,1,0,4,4,4,1,1005,WORD,UN,33,abound,SQUEAK,m,0.615025,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee33ce832efb54e45adc345,2020-08-10_09h23.09.641,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,,,,,,,,1.867525,1,0,5,5,9,1,1010,NW,"ID",33,fariny,FARINY,z,1.867525,,,,,,,,,,,,,,,,,,
