counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_keyboard.rt,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_keyboard.rt
1,,0.023148162,-0.386111181,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5ee4aab1232e9d1b4d791bae,2020-08-10_16h23.36.107,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,0.133333349,-0.40000007,0,0,0,,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5ee4aab1232e9d1b4d791bae,2020-08-10_16h23.36.107,lexical_decision_task_MP,2020.1.3,Win32,60,6.623875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,0.350926057,-0.328703716,0,0,0,,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5ee4aab1232e9d1b4d791bae,2020-08-10_16h23.36.107,lexical_decision_task_MP,2020.1.3,Win32,60,5.042955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,0.350926057,-0.328703716,0,0,0,,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5ee4aab1232e9d1b4d791bae,2020-08-10_16h23.36.107,lexical_decision_task_MP,2020.1.3,Win32,60,4.99359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee4aab1232e9d1b4d791bae,2020-08-10_16h23.36.107,lexical_decision_task_MP,2020.1.3,Win32,60,,z,1,1.95608,,,,,,,,1.95608,1,0,0,0,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee4aab1232e9d1b4d791bae,2020-08-10_16h23.36.107,lexical_decision_task_MP,2020.1.3,Win32,60,,m,1,0.83758,,,,,,,,0.83758,1,0,1,1,7,1,1008,WORD,UN,50,hurdle,VOLUME,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee4aab1232e9d1b4d791bae,2020-08-10_16h23.36.107,lexical_decision_task_MP,2020.1.3,Win32,60,,m,1,0.61591,,,,,,,,0.61591,1,0,2,2,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee4aab1232e9d1b4d791bae,2020-08-10_16h23.36.107,lexical_decision_task_MP,2020.1.3,Win32,60,,z,1,1.124895,,,,,,,,1.124895,1,0,3,3,10,1,1011,NW,"ID",50,inlade,INLADE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee4aab1232e9d1b4d791bae,2020-08-10_16h23.36.107,lexical_decision_task_MP,2020.1.3,Win32,60,,z,1,0.99596,,,,,,,,0.99596,1,0,4,4,15,1,1016,NW,UN,50,mushed,WHAISE,z,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5ee4aab1232e9d1b4d791bae,2020-08-10_16h23.36.107,lexical_decision_task_MP,2020.1.3,Win32,60,,m,1,0.48979,,,,,,,,0.48979,1,0,5,5,2,1,1003,WORD,"ID",50,almond,ALMOND,m,,,,,,,,,,,,,,,,,
