counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_keyboard.rt,break_done_touch.clicked_name
3,space,18.415965,0.275925926,-0.230555556,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5f2d9bac4a634e09294684c9,2020-08-10_15h29.13.085,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,9.933925,0.275925926,-0.230555556,0,0,0,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5f2d9bac4a634e09294684c9,2020-08-10_15h29.13.085,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,7.699345,0.275925926,-0.230555556,0,0,0,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5f2d9bac4a634e09294684c9,2020-08-10_15h29.13.085,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,14.31452,0.275925926,-0.230555556,0,0,0,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5f2d9bac4a634e09294684c9,2020-08-10_15h29.13.085,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f2d9bac4a634e09294684c9,2020-08-10_15h29.13.085,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.96632,,,,,,,,0.96632,1,0,0,0,2,1,1003,WORD,"ID",50,almond,ALMOND,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f2d9bac4a634e09294684c9,2020-08-10_15h29.13.085,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.81437,,,,,,,,0.81437,1,0,1,1,14,1,1015,NW,UN,50,miaber,THRALE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f2d9bac4a634e09294684c9,2020-08-10_15h29.13.085,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,0.753975,,,,,,,,0.753975,1,0,2,2,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f2d9bac4a634e09294684c9,2020-08-10_15h29.13.085,lexical_decision_task_MP,2020.1.3,Win32,60,z,0,0.648305,,,,,,,,0.648305,0,0,3,3,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f2d9bac4a634e09294684c9,2020-08-10_15h29.13.085,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,1.137485,,,,,,,,1.137485,0,0,4,4,10,1,1011,NW,"ID",50,inlade,INLADE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f2d9bac4a634e09294684c9,2020-08-10_15h29.13.085,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.708635,,,,,,,,0.708635,1,0,5,5,3,1,1004,WORD,"ID",50,matrix,MATRIX,m,,,,,,,,,,,,,,,,,,
