counterbalancing_condition,instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,experiment_trials.ran,break_done_keyboard.rt
3,space,7.365745,0.003910068,-0.384652981,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,0.03514,0.003910068,-0.384652981,0,0,0,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,4.37177,-0.26001955,-0.020039101,0,0,0,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,space,6.618785,-0.061583578,-0.068914956,0,0,0,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,,,,,,,,,-1,0,0,0,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,1.113715,1,0,1,1,4,1,1005,WORD,UN,33,abound,SQUEAK,m,1.113715,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.573025,1,0,2,2,14,1,1015,NW,UN,16,miaber,THRALE,z,0.573025,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,0,,,,,,,,0.61503,0,0,3,3,8,1,1009,NW,"ID",33,aslert,ASLERT,z,0.61503,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.503925,1,0,4,4,11,1,1012,NW,"ID",16,rashet,RASHET,z,0.503925,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.616845,1,0,5,5,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,0.616845,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.565495,1,0,6,6,15,1,1016,NW,UN,16,mushed,WHAISE,z,0.565495,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.716395,1,0,7,7,12,1,1013,NW,UN,33,adveil,SPRINY,z,0.716395,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.536655,1,0,8,8,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,0.536655,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.559045,1,0,9,9,9,1,1010,NW,"ID",33,fariny,FARINY,z,0.559045,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.549945,1,0,10,10,2,1,1003,WORD,"ID",16,almond,ALMOND,m,0.549945,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.470325,1,0,11,11,13,1,1014,NW,UN,33,winfer,ROUPET,z,0.470325,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.488845,1,0,12,12,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,0.488845,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.54256,1,0,13,13,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,0.54256,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.56304,1,0,14,14,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,0.56304,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,m,1,,,,,,,,0.53179,1,0,15,15,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,0.53179,,,,,,,,,,,,,,,,,
,space,5.66025,-0.061583578,-0.068914956,0,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 15 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.69401,1,,,,,,315,NW,"ID",33,laston,LASTON,z,0.69401,,,,,,-0.061583578,-0.068914956,0,0,0,,0,0,0,254,1,
,,,,,,,,,,,,,,,,,,5e149c03864020aa6e1cf04d,2020-11-27_10h05.48.928,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,z,1,,,,,,,,0.60265,1,,,,,,278,NW,UN,16,celond,UNIGHS,z,0.60265,,,,,,-0.061583578,-0.068914956,0,0,0,,0,1,1,457,1,
